Case;Atividade;Inicio;Fim;Tempo(s)
20;Alimentacao de Maquina;19-01-2012 08:42:32;19-01-2012 08:42:42;10
20;Parada de curta duracao;19-01-2012 08:42:42;19-01-2012 08:42:49;7
21;Maquina trabalhando;19-01-2012 08:42:49;19-01-2012 08:43:33;44
21;Retirada do Produto;19-01-2012 08:43:33;19-01-2012 08:43:33;0
21;Alimentacao de Maquina;19-01-2012 08:43:33;19-01-2012 08:43:43;10
21;Parada de curta duracao;19-01-2012 08:43:43;19-01-2012 08:43:51;8
22;Maquina trabalhando;19-01-2012 08:43:51;19-01-2012 08:44:35;44
22;Retirada do Produto;19-01-2012 08:44:35;19-01-2012 08:44:35;0
22;Alimentacao de Maquina;19-01-2012 08:44:35;19-01-2012 08:44:45;10
22;Parada de curta duracao;19-01-2012 08:44:45;19-01-2012 08:44:53;8
23;Maquina trabalhando;19-01-2012 08:44:53;19-01-2012 08:45:37;44
23;Retirada do Produto;19-01-2012 08:45:37;19-01-2012 08:45:37;0
23;Alimentacao de Maquina;19-01-2012 08:45:37;19-01-2012 08:45:47;10
23;Parada de curta duracao;19-01-2012 08:45:47;19-01-2012 08:45:52;5
24;Maquina trabalhando;19-01-2012 08:48:49;19-01-2012 08:49:33;44
24;Retirada do Produto;19-01-2012 08:49:33;19-01-2012 08:49:33;0
24;Alimentacao de Maquina;19-01-2012 08:49:33;19-01-2012 08:49:43;10
24;Parada de curta duracao;19-01-2012 08:49:43;19-01-2012 08:49:50;7
25;Maquina trabalhando;19-01-2012 08:49:50;19-01-2012 08:50:34;44
25;Retirada do Produto;19-01-2012 08:50:34;19-01-2012 08:50:34;0
25;Alimentacao de Maquina;19-01-2012 08:50:34;19-01-2012 08:50:44;10
25;Parada de curta duracao;19-01-2012 08:50:44;19-01-2012 08:50:47;3
26;Maquina trabalhando;19-01-2012 08:50:48;19-01-2012 08:51:31;43
26;Retirada do Produto;19-01-2012 08:51:31;19-01-2012 08:51:31;0
26;Alimentacao de Maquina;19-01-2012 08:51:31;19-01-2012 08:51:41;10
26;Parada de curta duracao;19-01-2012 08:51:41;19-01-2012 08:51:53;12
27;Maquina trabalhando;19-01-2012 08:51:54;19-01-2012 08:52:38;44
27;Retirada do Produto;19-01-2012 08:52:38;19-01-2012 08:52:38;0
27;Alimentacao de Maquina;19-01-2012 08:52:38;19-01-2012 08:52:48;10
27;Parada de curta duracao;19-01-2012 08:52:48;19-01-2012 08:53:11;23
28;Maquina trabalhando;19-01-2012 08:53:11;19-01-2012 08:53:55;44
28;Retirada do Produto;19-01-2012 08:53:55;19-01-2012 08:53:55;0
28;Alimentacao de Maquina;19-01-2012 08:53:55;19-01-2012 08:54:05;10
28;Parada de curta duracao;19-01-2012 08:54:05;19-01-2012 08:54:11;6
29;Maquina trabalhando;19-01-2012 08:54:11;19-01-2012 08:54:55;44
29;Retirada do Produto;19-01-2012 08:54:55;19-01-2012 08:54:55;0
29;Alimentacao de Maquina;19-01-2012 08:54:55;19-01-2012 08:55:05;10
29;Parada de curta duracao;19-01-2012 08:55:05;19-01-2012 08:55:10;5
30;Maquina trabalhando;19-01-2012 08:55:10;19-01-2012 08:55:53;43
30;Retirada do Produto;19-01-2012 08:55:53;19-01-2012 08:55:53;0
30;Alimentacao de Maquina;19-01-2012 08:55:53;19-01-2012 08:56:03;10
30;Parada de curta duracao;19-01-2012 08:56:03;19-01-2012 08:56:14;11
31;Maquina trabalhando;19-01-2012 08:56:14;19-01-2012 08:56:58;44
31;Retirada do Produto;19-01-2012 08:56:58;19-01-2012 08:56:58;0
31;Alimentacao de Maquina;19-01-2012 08:56:58;19-01-2012 08:57:08;10
31;Parada de curta duracao;19-01-2012 08:57:08;19-01-2012 08:57:26;18
32;Maquina trabalhando;19-01-2012 08:57:26;19-01-2012 08:58:09;43
32;Retirada do Produto;19-01-2012 08:58:09;19-01-2012 08:58:09;0
32;Alimentacao de Maquina;19-01-2012 08:58:09;19-01-2012 08:58:19;10
32;Parada de curta duracao;19-01-2012 08:58:19;19-01-2012 08:58:30;11
33;Maquina trabalhando;19-01-2012 08:58:30;19-01-2012 08:59:13;43
33;Alimentacao de Maquina;19-01-2012 08:59:13;19-01-2012 08:59:23;10
33;Retirada do Produto;19-01-2012 08:59:14;19-01-2012 08:59:14;0
33;Parada de curta duracao;19-01-2012 08:59:23;19-01-2012 08:59:30;7
34;Maquina trabalhando;19-01-2012 08:59:30;19-01-2012 09:00:13;43
