Case;Atividade;Inicio;Fim;Tempo(s)
670;Parada de curta duracao;20-01-2012 12:18:53;20-01-2012 12:19:04;11
671;Maquina trabalhando;20-01-2012 12:19:04;20-01-2012 12:19:47;43
671;Retirada do Produto;20-01-2012 12:19:47;20-01-2012 12:19:47;0
671;Alimentacao de Maquina;20-01-2012 12:19:47;20-01-2012 12:19:57;10
671;Parada de curta duracao;20-01-2012 12:19:57;20-01-2012 12:20:03;6
672;Maquina trabalhando;20-01-2012 12:20:03;20-01-2012 12:20:47;44
672;Retirada do Produto;20-01-2012 12:20:47;20-01-2012 12:20:47;0
672;Alimentacao de Maquina;20-01-2012 12:20:47;20-01-2012 12:20:57;10
672;Parada de curta duracao;20-01-2012 12:20:57;20-01-2012 12:21:01;4
673;Maquina trabalhando;20-01-2012 12:21:01;20-01-2012 12:21:45;44
673;Retirada do Produto;20-01-2012 12:21:45;20-01-2012 12:21:45;0
673;Alimentacao de Maquina;20-01-2012 12:21:45;20-01-2012 12:21:55;10
673;Parada de curta duracao;20-01-2012 12:21:55;20-01-2012 12:21:59;4
674;Maquina trabalhando;20-01-2012 12:22:00;20-01-2012 12:22:44;44
674;Retirada do Produto;20-01-2012 12:22:44;20-01-2012 12:22:44;0
674;Alimentacao de Maquina;20-01-2012 12:22:44;20-01-2012 12:22:54;10
674;Parada de curta duracao;20-01-2012 12:22:54;20-01-2012 12:22:59;5
675;Maquina trabalhando;20-01-2012 12:22:59;20-01-2012 12:23:43;44
675;Retirada do Produto;20-01-2012 12:23:43;20-01-2012 12:23:43;0
675;Alimentacao de Maquina;20-01-2012 12:23:43;20-01-2012 12:23:53;10
675;Parada de curta duracao;20-01-2012 12:23:53;20-01-2012 12:24:00;7
676;Maquina trabalhando;20-01-2012 12:24:00;20-01-2012 12:24:43;43
676;Alimentacao de Maquina;20-01-2012 12:24:43;20-01-2012 12:24:53;10
676;Retirada do Produto;20-01-2012 12:24:44;20-01-2012 12:24:44;0
676;Parada de curta duracao;20-01-2012 12:24:53;20-01-2012 12:24:58;5
677;Maquina trabalhando;20-01-2012 12:24:58;20-01-2012 12:25:41;43
677;Retirada do Produto;20-01-2012 12:25:41;20-01-2012 12:25:41;0
677;Alimentacao de Maquina;20-01-2012 12:25:41;20-01-2012 12:25:51;10
677;Parada de curta duracao;20-01-2012 12:25:51;20-01-2012 12:25:56;5
678;Maquina trabalhando;20-01-2012 12:25:56;20-01-2012 12:26:41;45
678;Retirada do Produto;20-01-2012 12:26:41;20-01-2012 12:26:41;0
678;Alimentacao de Maquina;20-01-2012 12:26:41;20-01-2012 12:26:51;10
678;Parada de curta duracao;20-01-2012 12:26:51;20-01-2012 12:26:54;3
679;Maquina trabalhando;20-01-2012 12:26:54;20-01-2012 12:27:38;44
679;Retirada do Produto;20-01-2012 12:27:38;20-01-2012 12:27:38;0
679;Alimentacao de Maquina;20-01-2012 12:27:38;20-01-2012 12:27:48;10
679;Parada de curta duracao;20-01-2012 12:27:48;20-01-2012 12:27:54;6
680;Maquina trabalhando;20-01-2012 12:27:54;20-01-2012 12:28:37;43
680;Alimentacao de Maquina;20-01-2012 12:28:37;20-01-2012 12:28:47;10
680;Retirada do Produto;20-01-2012 12:28:38;20-01-2012 12:28:38;0
680;Parada de curta duracao;20-01-2012 12:28:47;20-01-2012 12:29:00;13
681;Maquina trabalhando;20-01-2012 12:29:00;20-01-2012 12:29:44;44
681;Retirada do Produto;20-01-2012 12:29:44;20-01-2012 12:29:44;0
681;Alimentacao de Maquina;20-01-2012 12:29:44;20-01-2012 12:29:54;10
681;Parada de curta duracao;20-01-2012 12:29:54;20-01-2012 12:30:02;8
682;Maquina trabalhando;20-01-2012 12:30:02;20-01-2012 12:30:45;43
682;Alimentacao de Maquina;20-01-2012 12:30:45;20-01-2012 12:30:55;10
682;Retirada do Produto;20-01-2012 12:30:46;20-01-2012 12:30:46;0
682;Parada de curta duracao;20-01-2012 12:30:55;20-01-2012 12:31:01;6
683;Maquina trabalhando;20-01-2012 12:31:01;20-01-2012 12:31:45;44
683;Retirada do Produto;20-01-2012 12:31:45;20-01-2012 12:31:45;0
683;Alimentacao de Maquina;20-01-2012 12:31:45;20-01-2012 12:31:55;10
683;Parada de curta duracao;20-01-2012 12:31:55;20-01-2012 12:32:02;7
684;Maquina trabalhando;20-01-2012 12:32:02;20-01-2012 12:32:46;44
684;Retirada do Produto;20-01-2012 12:32:46;20-01-2012 12:32:46;0
684;Alimentacao de Maquina;20-01-2012 12:32:46;20-01-2012 12:32:56;10
684;Parada de curta duracao;20-01-2012 12:32:56;20-01-2012 12:33:26;30
685;Maquina trabalhando;20-01-2012 12:33:26;20-01-2012 12:34:09;43
685;Retirada do Produto;20-01-2012 12:34:09;20-01-2012 12:34:09;0
685;Alimentacao de Maquina;20-01-2012 12:34:09;20-01-2012 12:34:19;10
685;Parada de curta duracao;20-01-2012 12:34:19;20-01-2012 12:34:30;11
686;Maquina trabalhando;20-01-2012 12:34:30;20-01-2012 12:35:14;44
686;Retirada do Produto;20-01-2012 12:35:14;20-01-2012 12:35:14;0
686;Alimentacao de Maquina;20-01-2012 12:35:14;20-01-2012 12:35:24;10
686;Parada de curta duracao;20-01-2012 12:35:24;20-01-2012 12:35:26;2
687;Maquina trabalhando;20-01-2012 12:35:26;20-01-2012 12:36:10;44
687;Retirada do Produto;20-01-2012 12:36:10;20-01-2012 12:36:10;0
687;Alimentacao de Maquina;20-01-2012 12:36:10;20-01-2012 12:36:20;10
687;Parada de curta duracao;20-01-2012 12:36:20;20-01-2012 12:36:25;5
688;Maquina trabalhando;20-01-2012 12:36:25;20-01-2012 12:37:09;44
688;Retirada do Produto;20-01-2012 12:37:09;20-01-2012 12:37:09;0
688;Alimentacao de Maquina;20-01-2012 12:37:09;20-01-2012 12:37:19;10
688;Parada de curta duracao;20-01-2012 12:37:19;20-01-2012 12:37:21;2
689;Maquina trabalhando;20-01-2012 12:37:21;20-01-2012 12:38:05;44
689;Retirada do Produto;20-01-2012 12:38:05;20-01-2012 12:38:05;0
689;Alimentacao de Maquina;20-01-2012 12:38:05;20-01-2012 12:38:15;10
689;Parada de curta duracao;20-01-2012 12:38:15;20-01-2012 12:38:21;6
690;Maquina trabalhando;20-01-2012 12:38:21;20-01-2012 12:39:05;44
690;Retirada do Produto;20-01-2012 12:39:05;20-01-2012 12:39:05;0
690;Alimentacao de Maquina;20-01-2012 12:39:05;20-01-2012 12:39:15;10
690;Parada de curta duracao;20-01-2012 12:39:15;20-01-2012 12:39:20;5
691;Maquina trabalhando;20-01-2012 12:39:20;20-01-2012 12:40:03;43
691;Apontamento de Kanban;20-01-2012 12:40:03;20-01-2012 12:47:23;440
691;Retirada do Produto;20-01-2012 12:40:04;20-01-2012 12:40:04;0
692;Maquina trabalhando;20-01-2012 12:47:25;20-01-2012 12:48:09;44
692;Retirada do Produto;20-01-2012 12:48:09;20-01-2012 12:48:09;0
692;Alimentacao de Maquina;20-01-2012 12:48:09;20-01-2012 12:48:19;10
692;Parada de curta duracao;20-01-2012 12:48:19;20-01-2012 12:48:22;3
693;Maquina trabalhando;20-01-2012 12:48:22;20-01-2012 12:49:06;44
693;Retirada do Produto;20-01-2012 12:49:06;20-01-2012 12:49:06;0
693;Alimentacao de Maquina;20-01-2012 12:49:06;20-01-2012 12:49:16;10
693;Parada de curta duracao;20-01-2012 12:49:16;20-01-2012 12:49:18;2
694;Maquina trabalhando;20-01-2012 12:49:18;20-01-2012 12:50:01;43
694;Alimentacao de Maquina;20-01-2012 12:50:01;20-01-2012 12:50:11;10
694;Retirada do Produto;20-01-2012 12:50:02;20-01-2012 12:50:02;0
694;Parada de curta duracao;20-01-2012 12:50:11;20-01-2012 12:50:15;4
695;Maquina trabalhando;20-01-2012 12:50:15;20-01-2012 12:50:59;44
695;Retirada do Produto;20-01-2012 12:50:59;20-01-2012 12:50:59;0
695;Alimentacao de Maquina;20-01-2012 12:50:59;20-01-2012 12:51:09;10
695;Parada de curta duracao;20-01-2012 12:51:09;20-01-2012 12:51:10;1
696;Maquina trabalhando;20-01-2012 12:51:10;20-01-2012 12:51:54;44
696;Alimentacao de Maquina;20-01-2012 12:51:54;20-01-2012 12:52:04;10
696;Retirada do Produto;20-01-2012 12:51:55;20-01-2012 12:51:55;0
696;Parada de curta duracao;20-01-2012 12:52:04;20-01-2012 12:52:07;3
697;Maquina trabalhando;20-01-2012 12:52:08;20-01-2012 12:52:52;44
697;Retirada do Produto;20-01-2012 12:52:52;20-01-2012 12:52:52;0
697;Alimentacao de Maquina;20-01-2012 12:52:52;20-01-2012 12:53:02;10
697;Parada de curta duracao;20-01-2012 12:53:02;20-01-2012 12:53:09;7
698;Maquina trabalhando;20-01-2012 12:53:09;20-01-2012 12:53:52;43
698;Alimentacao de Maquina;20-01-2012 12:53:52;20-01-2012 12:54:02;10
698;Retirada do Produto;20-01-2012 12:53:53;20-01-2012 12:53:53;0
698;Parada de curta duracao;20-01-2012 12:54:02;20-01-2012 12:54:07;5
699;Maquina trabalhando;20-01-2012 12:54:08;20-01-2012 12:54:51;43
699;Retirada do Produto;20-01-2012 12:54:51;20-01-2012 12:54:51;0
699;Alimentacao de Maquina;20-01-2012 12:54:51;20-01-2012 12:55:01;10
699;Parada de curta duracao;20-01-2012 12:55:01;20-01-2012 12:55:05;4
700;Maquina trabalhando;20-01-2012 12:55:05;20-01-2012 12:55:49;44
700;Retirada do Produto;20-01-2012 12:55:49;20-01-2012 12:55:49;0
700;Alimentacao de Maquina;20-01-2012 12:55:49;20-01-2012 12:55:59;10
700;Parada de curta duracao;20-01-2012 12:55:59;20-01-2012 12:56:00;1
701;Maquina trabalhando;20-01-2012 12:56:00;20-01-2012 12:56:44;44
701;Retirada do Produto;20-01-2012 12:56:44;20-01-2012 12:56:44;0
701;Alimentacao de Maquina;20-01-2012 12:56:44;20-01-2012 12:56:54;10
701;Parada de curta duracao;20-01-2012 12:56:54;20-01-2012 12:56:57;3
702;Maquina trabalhando;20-01-2012 12:56:57;20-01-2012 12:57:41;44
702;Retirada do Produto;20-01-2012 12:57:41;20-01-2012 12:57:41;0
702;Alimentacao de Maquina;20-01-2012 12:57:41;20-01-2012 12:57:51;10
702;Parada de curta duracao;20-01-2012 12:57:51;20-01-2012 12:57:54;3
703;Maquina trabalhando;20-01-2012 12:57:54;20-01-2012 12:58:37;43
703;Alimentacao de Maquina;20-01-2012 12:58:37;20-01-2012 12:58:47;10
703;Retirada do Produto;20-01-2012 12:58:38;20-01-2012 12:58:38;0
703;Parada de curta duracao;20-01-2012 12:58:47;20-01-2012 12:58:52;5
704;Maquina trabalhando;20-01-2012 12:58:52;20-01-2012 12:59:36;44
704;Alimentacao de Maquina;20-01-2012 12:59:35;20-01-2012 12:59:45;10
704;Retirada do Produto;20-01-2012 12:59:36;20-01-2012 12:59:36;0
704;Parada de curta duracao;20-01-2012 12:59:45;20-01-2012 12:59:48;3
705;Maquina trabalhando;20-01-2012 12:59:48;20-01-2012 13:00:32;44
705;Retirada do Produto;20-01-2012 13:00:32;20-01-2012 13:00:32;0
705;Alimentacao de Maquina;20-01-2012 13:00:32;20-01-2012 13:00:42;10
705;Parada de curta duracao;20-01-2012 13:00:42;20-01-2012 13:00:46;4
706;Maquina trabalhando;20-01-2012 13:00:46;20-01-2012 13:01:29;43
706;Retirada do Produto;20-01-2012 13:01:29;20-01-2012 13:01:29;0
706;Alimentacao de Maquina;20-01-2012 13:01:29;20-01-2012 13:01:39;10
706;Parada de curta duracao;20-01-2012 13:01:39;20-01-2012 13:01:41;2
707;Maquina trabalhando;20-01-2012 13:01:41;20-01-2012 13:02:25;44
707;Retirada do Produto;20-01-2012 13:02:25;20-01-2012 13:02:25;0
707;Alimentacao de Maquina;20-01-2012 13:02:25;20-01-2012 13:02:35;10
707;Parada de curta duracao;20-01-2012 13:02:35;20-01-2012 13:02:37;2
708;Maquina trabalhando;20-01-2012 13:05:33;20-01-2012 13:06:17;44
708;Alimentacao de Maquina;20-01-2012 13:06:16;20-01-2012 13:06:26;10
708;Retirada do Produto;20-01-2012 13:06:17;20-01-2012 13:06:17;0
708;Parada de curta duracao;20-01-2012 13:06:26;20-01-2012 13:06:28;2
709;Maquina trabalhando;20-01-2012 13:06:29;20-01-2012 13:07:13;44
709;Retirada do Produto;20-01-2012 13:07:13;20-01-2012 13:07:13;0
709;Alimentacao de Maquina;20-01-2012 13:07:13;20-01-2012 13:07:23;10
709;Parada de curta duracao;20-01-2012 13:07:23;20-01-2012 13:07:25;2
710;Maquina trabalhando;20-01-2012 13:07:25;20-01-2012 13:08:09;44
710;Retirada do Produto;20-01-2012 13:08:09;20-01-2012 13:08:09;0
710;Alimentacao de Maquina;20-01-2012 13:08:09;20-01-2012 13:08:20;11
711;Maquina trabalhando;20-01-2012 13:08:20;20-01-2012 13:09:04;44
711;Retirada do Produto;20-01-2012 13:09:04;20-01-2012 13:09:04;0
711;Alimentacao de Maquina;20-01-2012 13:09:04;20-01-2012 13:09:14;10
711;Parada de curta duracao;20-01-2012 13:09:14;20-01-2012 13:09:35;21
712;Maquina trabalhando;20-01-2012 13:09:35;20-01-2012 13:10:19;44
712;Retirada do Produto;20-01-2012 13:10:19;20-01-2012 13:10:19;0
712;Alimentacao de Maquina;20-01-2012 13:10:19;20-01-2012 13:10:29;10
712;Parada de curta duracao;20-01-2012 13:10:29;20-01-2012 13:10:31;2
713;Maquina trabalhando;20-01-2012 13:10:31;20-01-2012 13:11:15;44
713;Retirada do Produto;20-01-2012 13:11:15;20-01-2012 13:11:15;0
713;Alimentacao de Maquina;20-01-2012 13:11:15;20-01-2012 13:11:25;10
713;Parada de curta duracao;20-01-2012 13:11:25;20-01-2012 13:11:26;1
714;Maquina trabalhando;20-01-2012 13:11:26;20-01-2012 13:12:10;44
714;Retirada do Produto;20-01-2012 13:12:10;20-01-2012 13:12:10;0
714;Alimentacao de Maquina;20-01-2012 13:12:10;20-01-2012 13:12:20;10
714;Parada de curta duracao;20-01-2012 13:12:20;20-01-2012 13:12:22;2
715;Maquina trabalhando;20-01-2012 13:12:23;20-01-2012 13:13:06;43
715;Retirada do Produto;20-01-2012 13:13:06;20-01-2012 13:13:06;0
715;Alimentacao de Maquina;20-01-2012 13:13:06;20-01-2012 13:13:16;10
715;Parada de curta duracao;20-01-2012 13:13:16;20-01-2012 13:13:21;5
716;Maquina trabalhando;20-01-2012 13:13:21;20-01-2012 13:14:04;43
716;Retirada do Produto;20-01-2012 13:14:04;20-01-2012 13:14:04;0
716;Alimentacao de Maquina;20-01-2012 13:14:04;20-01-2012 13:14:14;10
716;Parada de curta duracao;20-01-2012 13:14:14;20-01-2012 13:14:18;4
717;Maquina trabalhando;20-01-2012 13:37:52;20-01-2012 13:38:36;44
717;Retirada do Produto;20-01-2012 13:38:36;20-01-2012 13:38:36;0
717;Alimentacao de Maquina;20-01-2012 13:38:36;20-01-2012 13:38:46;10
717;Parada de curta duracao;20-01-2012 13:38:46;20-01-2012 13:38:57;11
718;Maquina trabalhando;20-01-2012 13:38:57;20-01-2012 13:39:40;43
718;Retirada do Produto;20-01-2012 13:39:40;20-01-2012 13:39:40;0
718;Alimentacao de Maquina;20-01-2012 13:39:40;20-01-2012 13:39:50;10
718;Parada de curta duracao;20-01-2012 13:39:50;20-01-2012 13:41:23;93
719;Maquina trabalhando;20-01-2012 13:41:23;20-01-2012 13:42:06;43
719;Alimentacao de Maquina;20-01-2012 13:42:06;20-01-2012 13:42:16;10
719;Retirada do Produto;20-01-2012 13:42:07;20-01-2012 13:42:07;0
719;Parada de curta duracao;20-01-2012 13:42:16;20-01-2012 13:42:17;1
720;Maquina trabalhando;20-01-2012 13:42:17;20-01-2012 13:43:01;44
720;Retirada do Produto;20-01-2012 13:43:01;20-01-2012 13:43:01;0
720;Alimentacao de Maquina;20-01-2012 13:43:01;20-01-2012 13:43:11;10
720;Parada de curta duracao;20-01-2012 13:43:11;20-01-2012 13:43:37;26
721;Maquina trabalhando;20-01-2012 13:43:37;20-01-2012 13:44:21;44
721;Retirada do Produto;20-01-2012 13:44:21;20-01-2012 13:44:21;0
721;Alimentacao de Maquina;20-01-2012 13:44:21;20-01-2012 13:44:31;10
721;Parada de curta duracao;20-01-2012 13:44:31;20-01-2012 13:44:37;6
722;Maquina trabalhando;20-01-2012 13:44:37;20-01-2012 13:45:20;43
722;Alimentacao de Maquina;20-01-2012 13:45:20;20-01-2012 13:45:30;10
722;Retirada do Produto;20-01-2012 13:45:21;20-01-2012 13:45:21;0
722;Parada de curta duracao;20-01-2012 13:45:30;20-01-2012 13:45:59;29
723;Maquina trabalhando;20-01-2012 13:46:00;20-01-2012 13:46:43;43
723;Retirada do Produto;20-01-2012 13:46:43;20-01-2012 13:46:43;0
723;Alimentacao de Maquina;20-01-2012 13:46:43;20-01-2012 13:46:53;10
723;Parada de curta duracao;20-01-2012 13:46:53;20-01-2012 13:46:57;4
724;Maquina trabalhando;20-01-2012 13:46:58;20-01-2012 13:47:42;44
724;Retirada do Produto;20-01-2012 13:47:42;20-01-2012 13:47:42;0
724;Alimentacao de Maquina;20-01-2012 13:47:42;20-01-2012 13:47:52;10
724;Parada de curta duracao;20-01-2012 13:47:52;20-01-2012 13:47:57;5
725;Maquina trabalhando;20-01-2012 13:47:57;20-01-2012 13:48:40;43
725;Retirada do Produto;20-01-2012 13:48:40;20-01-2012 13:48:40;0
725;Alimentacao de Maquina;20-01-2012 13:48:40;20-01-2012 13:48:50;10
725;Parada de curta duracao;20-01-2012 13:48:50;20-01-2012 13:49:06;16
726;Maquina trabalhando;20-01-2012 13:49:07;20-01-2012 13:49:50;43
726;Retirada do Produto;20-01-2012 13:49:50;20-01-2012 13:49:50;0
726;Alimentacao de Maquina;20-01-2012 13:49:50;20-01-2012 13:50:00;10
726;Parada de curta duracao;20-01-2012 13:50:00;20-01-2012 13:50:05;5
727;Maquina trabalhando;20-01-2012 13:50:05;20-01-2012 13:50:48;43
727;Retirada do Produto;20-01-2012 13:50:48;20-01-2012 13:50:48;0
727;Alimentacao de Maquina;20-01-2012 13:50:48;20-01-2012 13:50:58;10
727;Parada de curta duracao;20-01-2012 13:50:58;20-01-2012 13:51:05;7
728;Maquina trabalhando;20-01-2012 13:51:05;20-01-2012 13:51:49;44
728;Retirada do Produto;20-01-2012 13:51:49;20-01-2012 13:51:49;0
728;Alimentacao de Maquina;20-01-2012 13:51:49;20-01-2012 13:51:59;10
728;Parada de curta duracao;20-01-2012 13:51:59;20-01-2012 13:52:01;2
729;Maquina trabalhando;20-01-2012 13:52:01;20-01-2012 13:52:45;44
729;Retirada do Produto;20-01-2012 13:52:45;20-01-2012 13:52:45;0
729;Alimentacao de Maquina;20-01-2012 13:52:45;20-01-2012 13:52:55;10
729;Parada de curta duracao;20-01-2012 13:52:55;20-01-2012 13:53:38;43
730;Maquina trabalhando;20-01-2012 13:53:38;20-01-2012 13:54:22;44
730;Retirada do Produto;20-01-2012 13:54:22;20-01-2012 13:54:22;0
730;Alimentacao de Maquina;20-01-2012 13:54:22;20-01-2012 13:54:32;10
730;Parada de curta duracao;20-01-2012 13:54:32;20-01-2012 13:54:36;4
731;Maquina trabalhando;20-01-2012 13:54:36;20-01-2012 13:55:20;44
731;Retirada do Produto;20-01-2012 13:55:20;20-01-2012 13:55:20;0
731;Alimentacao de Maquina;20-01-2012 13:55:20;20-01-2012 13:55:30;10
731;Parada de curta duracao;20-01-2012 13:55:30;20-01-2012 13:55:35;5
732;Maquina trabalhando;20-01-2012 13:55:35;20-01-2012 13:56:19;44
732;Retirada do Produto;20-01-2012 13:56:19;20-01-2012 13:56:19;0
732;Alimentacao de Maquina;20-01-2012 13:56:19;20-01-2012 13:56:29;10
732;Parada de curta duracao;20-01-2012 13:56:29;20-01-2012 13:58:00;91
733;Maquina trabalhando;20-01-2012 13:58:01;20-01-2012 13:58:44;43
733;Retirada do Produto;20-01-2012 13:58:44;20-01-2012 13:58:44;0
733;Alimentacao de Maquina;20-01-2012 13:58:44;20-01-2012 13:58:54;10
733;Parada de curta duracao;20-01-2012 13:58:54;20-01-2012 13:59:02;8
734;Maquina trabalhando;20-01-2012 13:59:02;20-01-2012 13:59:46;44
734;Retirada do Produto;20-01-2012 13:59:46;20-01-2012 13:59:46;0
734;Alimentacao de Maquina;20-01-2012 13:59:46;20-01-2012 13:59:56;10
734;Parada de curta duracao;20-01-2012 13:59:56;20-01-2012 14:00:01;5
735;Maquina trabalhando;20-01-2012 14:00:01;20-01-2012 14:00:45;44
735;Retirada do Produto;20-01-2012 14:00:45;20-01-2012 14:00:45;0
735;Alimentacao de Maquina;20-01-2012 14:00:45;20-01-2012 14:00:55;10
735;Parada de curta duracao;20-01-2012 14:00:55;20-01-2012 14:01:08;13
736;Maquina trabalhando;20-01-2012 14:01:08;20-01-2012 14:01:51;43
736;Retirada do Produto;20-01-2012 14:01:51;20-01-2012 14:01:51;0
736;Alimentacao de Maquina;20-01-2012 14:01:51;20-01-2012 14:02:01;10
736;Parada de curta duracao;20-01-2012 14:02:01;20-01-2012 14:02:06;5
737;Maquina trabalhando;20-01-2012 14:02:07;20-01-2012 14:02:50;43
737;Retirada do Produto;20-01-2012 14:02:50;20-01-2012 14:02:50;0
737;Desgaste de ferramenta;20-01-2012 14:02:50;20-01-2012 14:06:14;204
738;Maquina trabalhando;20-01-2012 14:06:16;20-01-2012 14:06:59;43
738;Retirada do Produto;20-01-2012 14:06:59;20-01-2012 14:06:59;0
738;Alimentacao de Maquina;20-01-2012 14:06:59;20-01-2012 14:07:09;10
738;Parada de curta duracao;20-01-2012 14:07:09;20-01-2012 14:07:26;17
739;Maquina trabalhando;20-01-2012 14:07:27;20-01-2012 14:08:10;43
739;Retirada do Produto;20-01-2012 14:08:10;20-01-2012 14:08:10;0
739;Alimentacao de Maquina;20-01-2012 14:08:10;20-01-2012 14:08:20;10
739;Parada de curta duracao;20-01-2012 14:08:20;20-01-2012 14:08:29;9
740;Maquina trabalhando;20-01-2012 14:08:29;20-01-2012 14:09:14;45
740;Retirada do Produto;20-01-2012 14:09:14;20-01-2012 14:09:14;0
740;Alimentacao de Maquina;20-01-2012 14:09:14;20-01-2012 14:09:24;10
740;Parada de curta duracao;20-01-2012 14:09:24;20-01-2012 14:09:28;4
741;Maquina trabalhando;20-01-2012 14:09:28;20-01-2012 14:10:11;43
741;Alimentacao de Maquina;20-01-2012 14:10:11;20-01-2012 14:10:21;10
741;Retirada do Produto;20-01-2012 14:10:12;20-01-2012 14:10:12;0
741;Parada de curta duracao;20-01-2012 14:10:21;20-01-2012 14:10:26;5
742;Maquina trabalhando;20-01-2012 14:10:26;20-01-2012 14:11:10;44
742;Retirada do Produto;20-01-2012 14:11:10;20-01-2012 14:11:10;0
742;Alimentacao de Maquina;20-01-2012 14:11:10;20-01-2012 14:11:20;10
742;Parada de curta duracao;20-01-2012 14:11:20;20-01-2012 14:11:47;27
743;Maquina trabalhando;20-01-2012 14:11:47;20-01-2012 14:12:30;43
743;Alimentacao de Maquina;20-01-2012 14:12:30;20-01-2012 14:12:40;10
743;Retirada do Produto;20-01-2012 14:12:31;20-01-2012 14:12:31;0
743;Parada de curta duracao;20-01-2012 14:12:40;20-01-2012 14:12:47;7
744;Maquina trabalhando;20-01-2012 14:12:47;20-01-2012 14:13:30;43
744;Alimentacao de Maquina;20-01-2012 14:13:30;20-01-2012 14:13:40;10
744;Retirada do Produto;20-01-2012 14:13:31;20-01-2012 14:13:31;0
744;Parada de curta duracao;20-01-2012 14:13:40;20-01-2012 14:14:42;62
745;Maquina trabalhando;20-01-2012 14:14:42;20-01-2012 14:15:25;43
745;Retirada do Produto;20-01-2012 14:15:25;20-01-2012 14:15:25;0
745;Alimentacao de Maquina;20-01-2012 14:15:25;20-01-2012 14:15:35;10
745;Parada de curta duracao;20-01-2012 14:15:35;20-01-2012 14:15:45;10
746;Maquina trabalhando;20-01-2012 14:15:45;20-01-2012 14:16:28;43
746;Retirada do Produto;20-01-2012 14:16:28;20-01-2012 14:16:28;0
746;Alimentacao de Maquina;20-01-2012 14:16:28;20-01-2012 14:16:38;10
746;Parada de curta duracao;20-01-2012 14:16:38;20-01-2012 14:16:45;7
747;Maquina trabalhando;20-01-2012 14:16:45;20-01-2012 14:17:29;44
747;Retirada do Produto;20-01-2012 14:17:29;20-01-2012 14:17:29;0
747;Alimentacao de Maquina;20-01-2012 14:17:29;20-01-2012 14:17:39;10
747;Parada de curta duracao;20-01-2012 14:17:39;20-01-2012 14:17:46;7
748;Maquina trabalhando;20-01-2012 14:17:46;20-01-2012 14:18:29;43
748;Alimentacao de Maquina;20-01-2012 14:18:29;20-01-2012 14:18:39;10
748;Retirada do Produto;20-01-2012 14:18:30;20-01-2012 14:18:30;0
748;Parada de curta duracao;20-01-2012 14:18:39;20-01-2012 14:18:53;14
749;Maquina trabalhando;20-01-2012 14:18:53;20-01-2012 14:19:35;42
749;Retirada do Produto;20-01-2012 14:19:35;20-01-2012 14:19:35;0
749;Alimentacao de Maquina;20-01-2012 14:19:35;20-01-2012 14:19:45;10
749;Parada de curta duracao;20-01-2012 14:19:45;20-01-2012 14:20:16;31
750;Maquina trabalhando;20-01-2012 14:20:16;20-01-2012 14:20:56;40
750;Retirada do Produto;20-01-2012 14:20:56;20-01-2012 14:20:56;0
750;Alimentacao de Maquina;20-01-2012 14:20:56;20-01-2012 14:21:06;10
750;Parada de curta duracao;20-01-2012 14:21:06;20-01-2012 14:21:12;6
751;Maquina trabalhando;20-01-2012 14:21:12;20-01-2012 14:21:53;41
751;Retirada do Produto;20-01-2012 14:21:53;20-01-2012 14:21:53;0
751;Alimentacao de Maquina;20-01-2012 14:21:53;20-01-2012 14:22:03;10
751;Parada de curta duracao;20-01-2012 14:22:03;20-01-2012 14:22:09;6
752;Maquina trabalhando;20-01-2012 14:22:09;20-01-2012 14:22:49;40
752;Retirada do Produto;20-01-2012 14:22:49;20-01-2012 14:22:49;0
752;Alimentacao de Maquina;20-01-2012 14:22:49;20-01-2012 14:22:59;10
752;Parada de curta duracao;20-01-2012 14:22:59;20-01-2012 14:23:04;5
753;Maquina trabalhando;20-01-2012 14:23:05;20-01-2012 14:23:45;40
753;Retirada do Produto;20-01-2012 14:23:45;20-01-2012 14:23:45;0
753;Reajustes;20-01-2012 14:23:45;20-01-2012 14:25:57;132
754;Maquina trabalhando;20-01-2012 14:25:59;20-01-2012 14:26:40;41
754;Retirada do Produto;20-01-2012 14:26:40;20-01-2012 14:26:40;0
754;Alimentacao de Maquina;20-01-2012 14:26:40;20-01-2012 14:26:50;10
754;Parada de curta duracao;20-01-2012 14:26:50;20-01-2012 14:26:59;9
755;Maquina trabalhando;20-01-2012 14:26:59;20-01-2012 14:27:40;41
755;Retirada do Produto;20-01-2012 14:27:40;20-01-2012 14:27:40;0
755;Alimentacao de Maquina;20-01-2012 14:27:40;20-01-2012 14:27:50;10
755;Parada de curta duracao;20-01-2012 14:27:50;20-01-2012 14:27:55;5
756;Maquina trabalhando;20-01-2012 14:27:55;20-01-2012 14:28:35;40
756;Retirada do Produto;20-01-2012 14:28:35;20-01-2012 14:28:35;0
756;Alimentacao de Maquina;20-01-2012 14:28:35;20-01-2012 14:28:45;10
756;Parada de curta duracao;20-01-2012 14:28:45;20-01-2012 14:28:50;5
757;Maquina trabalhando;20-01-2012 14:28:50;20-01-2012 14:29:31;41
757;Retirada do Produto;20-01-2012 14:29:31;20-01-2012 14:29:31;0
757;Alimentacao de Maquina;20-01-2012 14:29:31;20-01-2012 14:29:41;10
757;Parada de curta duracao;20-01-2012 14:29:41;20-01-2012 14:29:44;3
758;Maquina trabalhando;20-01-2012 14:29:44;20-01-2012 14:30:24;40
758;Retirada do Produto;20-01-2012 14:30:24;20-01-2012 14:30:24;0
